Intercept is on	拦截开启(on)
Intercept is off	拦截关闭(off)
Drop	丢弃(Drop)
Forward	放行(Forward)
Action	操作(Action)
Next	下一步(Next)
Previous	上一步(Previous)
Temporary project	临时项目
New project on disk	在磁盘新建项目
Open existing project	打开已有的项目
Name:	名字(Name):
File:	文件(File):
Name	名字(Name)
File	文件(File)
Choose file...	选择文件(Choose file)...
Cancel	取消(Cancel)
Pause Automated Tasks	暂停自动任务
Welcome to Burp Suite Professional. Use the options below to create or open a project.	欢迎使用Burp Suite专业版.使用下面的选项创建或者打开项目.优化翻译版V1.0体验版 本人不对翻译等内容负责 by: C1O2A3
Welcome to Burp Suite Professional. Use the options below to create or open a project.	欢迎使用Burp Suite专业版.使用下面的选项创建或者打开项目.优化翻译版V1.0体验版 本人不对翻译等内容负责 by: C1O2A3
Are you sure you want to cancel?	你确定要退出吗?
Yes	是
No	否
Confirm	提示
Use Burp defaults	使用Burp的默认值
Use options saved with project	使用项目中保存的选项
Load from configuration file	从文件中读取设置
Default to the above in future	下次将其设置为默认值
Disable extensions	禁用扩展
Back	返回
Start Burp	启动Burp
Open config file	打开配置文件
Select the configuration that you would like to load for this project.	选择要为该项目加载的配置。
Are you sure you want to exit?	你确定要退出吗?
Please select a project file	请选择一个项目文件
Please enter a config file	请载入一个配置文件
Starting project, please wait ...	正在进入项目，请稍等...
This will close all Burp windows - are you sure you want to exit?	这将会关闭所有的BURP窗口 - 你确定想要退出吗?
Tasks	任务
New scan	新建扫描(New scan)
New scan 	新建扫描(New scan)
New scanning configuration	新的扫描设置(New scanning configuration)
New live task	新建实时任务(New live task)
New live task 	新建实时任务(New live task)
Issue activity	问题活动(Issue activity)
Filter	过滤(Filter)
Filter:	过滤器：
Filter: 	过滤器：
High	高(High)
Medium	中(Medium)
Low	低(Low)
Info	信息(Info)
Certain	Certain
Firm	Firm
Tentative	Tentative
Advisory	Advisory
Task	任务(Task)
Time	时间(Time)
Issue type	问题类型(sue type)
Event log	事件日志(Event log)
Critical	关键(Critical)
Error	错误(Error)
Info	信息(Info)
Debug	Debug
Type	类型(Type)
Source	来源(Source)
Message	信息(Message)
Filter	过滤器(Filter)
Running	运行中
Paused	已暂停
Finished	已完成
([0-9]+) items added to site map	$1个项目添加到站点地图
([0-9]+) responses processed	$1个响应已处理
([0-9]+) responses queued	$1个响应排队中
([0-9]+)\. Live audit from Proxy, Repeater and Intruder \(suite scope\)	$1. Proxy,Repeater,Intruder实时诊断（工具范围）
([0-9]+)\. Live passive crawl from (Proxy|Repeater) and (Repeater|Intruder) \(all traffic\)	$1. $2,$3（所有流量）实时被动爬行
([0-9]+)\. Live passive crawl from (Proxy|Repeater) and (Repeater|Intruder) \(custom scope\)	$1. $2,$3从（自定义范围）实时被动爬网
([0-9]+)\. Live passive crawl from (Proxy|Repeater) and (Repeater|Intruder) \(suite scope\)	$1. $2,$3来自（工具范围）的实时被动爬行
([0-9]+)\. Live passive crawl from (Proxy|Repeater|Intruder) \(all traffic\)	$1. $2（所有流量）实时被动爬行
([0-9]+)\. Live passive crawl from (Proxy|Repeater|Intruder) \(custom scope\)	$1. $2从（自定义范围）实时被动爬网
([0-9]+)\. Live passive crawl from (Proxy|Repeater|Intruder) \(suite scope\)	$1. $2来自（工具范围）的实时被动爬行
([0-9]+)\. Live passive crawl from Proxy, Repeater and Intruder \(all traffic\)	$1. Proxy,Repeater,Intruder（所有流量）实时被动爬行
([0-9]+)\. Live passive crawl from Proxy, Repeater and Intruder \(custom scope\)	$1. Proxy,Repeater,Intruder从（自定义范围）实时被动爬网
([0-9]+)\. Live passive crawl from Proxy, Repeater and Intruder \(suite scope\)	$1. $Proxy,Repeater,Intruder 来自（工具范围）的实时被动爬行
([0-9]+)\. Live audit from (Proxy|Repeater) and (Repeater|Intruder) \(all traffic\)	$1. $2,$3实时诊断（所有流量）
([0-9]+)\. Live audit from (Proxy|Repeater) and (Repeater|Intruder) \(custom scope\)	$1. $2,$3实时诊断（自定义范围）
([0-9]+)\. Live audit from (Proxy|Repeater) and (Repeater|Intruder) \(suite scope\)	$1. $2,$3实时诊断（工具范围）
([0-9]+)\. Live audit from (Proxy|Repeater|Intruder) \(all traffic\)	$1. $2实时诊断（所有流量）
([0-9]+)\. Live audit from (Proxy|Repeater|Intruder) \(custom scope\)	$1. $2实时诊断（自定义范围）
([0-9]+)\. Live audit from (Proxy|Repeater|Intruder) \(suite scope\)	$1. $2实时诊断（工具范围）
([0-9]+)\. Live audit from Proxy, Repeater and Intruder \(all traffic\)	$1. Proxy,Repeater,Intruder 实时诊断（所有流量）
([0-9]+)\. Live audit from Proxy, Repeater and Intruder \(custom scope\)	$1. Proxy,Repeater,Intruder实时诊断（自定义范围）
